column separator = ,
wd(m), 0.5(m/h), 4.0(m/h)
0,0,0
0.01,0.0007,0.0007
0.02,0.0024,0.0024
0.03,0.0047,0.0047
0.04,0.0075,0.0075
0.05,0.0106,0.0106
0.06,0.0140,0.0140
0.07,0.0177,0.0177
0.08,0.0216,0.0216
0.09,0.0257,0.0257
0.1,0.0299,0.0299
0.11,0.0343,0.0343
0.12,0.0388,0.0388
0.13,0.0435,0.0435
0.14,0.0483,0.0483
0.15,0.0531,0.0531
0.16,0.0581,0.0581
0.17,0.0631,0.0631
0.18,0.0683,0.0683
0.19,0.0735,0.0735
0.2,0.0787,0.0787
0.21,0.0841,0.0841
0.22,0.0895,0.0895
0.23,0.0949,0.0949
0.24,0.1004,0.1004
0.25,0.1059,0.1059
0.26,0.1115,0.1115
0.27,0.1172,0.1172
0.28,0.1228,0.1228
0.29,0.1286,0.1286
0.3,0.1343,0.1343
0.31,0.1401,0.1401
0.32,0.1459,0.1459
0.33,0.1517,0.1517
0.34,0.1576,0.1576
0.35,0.1635,0.1635
0.36,0.1694,0.1694
0.37,0.1754,0.1754
0.38,0.1814,0.1814
0.39,0.1874,0.1874
0.4,0.1934,0.1934
0.41,0.1994,0.1994
0.42,0.2055,0.2055
0.43,0.2116,0.2116
0.44,0.2177,0.2177
0.45,0.2238,0.2238
0.46,0.2299,0.2299
0.47,0.2360,0.2360
0.48,0.2422,0.2422
0.49,0.2484,0.2484
0.5,0.2545,0.2545
0.51,0.2607,0.2607
0.52,0.2669,0.2669
0.53,0.2732,0.2732
0.54,0.2794,0.2794
0.55,0.2856,0.2856
0.56,0.2919,0.2919
0.57,0.2981,0.2981
0.58,0.3044,0.3044
0.59,0.3106,0.3106
0.6,0.3169,0.3169
0.61,0.3232,0.3232
0.62,0.3295,0.3295
0.63,0.3358,0.3358
0.64,0.3421,0.3421
0.65,0.3484,0.3484
0.66,0.3547,0.3547
0.67,0.3611,0.3611
0.68,0.3674,0.3674
0.69,0.3737,0.3737
0.7,0.3801,0.3801
0.71,0.3864,0.3864
0.72,0.3928,0.3928
0.73,0.3991,0.3991
0.74,0.4055,0.4055
0.75,0.4118,0.4118
0.76,0.4182,0.4182
0.77,0.4245,0.4245
0.78,0.4309,0.4309
0.79,0.4373,0.4373
0.8,0.4436,0.4436
0.81,0.4500,0.4500
0.82,0.4564,0.4564
0.83,0.4628,0.4628
0.84,0.4691,0.4691
0.85,0.4755,0.4755
0.86,0.4819,0.4819
0.87,0.4883,0.4883
0.88,0.4947,0.4947
0.89,0.5010,0.5010
0.9,0.5074,0.5074
0.91,0.5138,0.5138
0.92,0.5202,0.5202
0.93,0.5266,0.5266
0.94,0.5330,0.5330
0.95,0.5393,0.5393
0.96,0.5457,0.5457
0.97,0.5521,0.5521
0.98,0.5585,0.5585
0.99,0.5649,0.5649
1,0.5713,0.5713
1.01,0.5777,0.5777
1.02,0.5840,0.5840
1.03,0.5904,0.5904
1.04,0.5968,0.5968
1.05,0.6032,0.6032
1.06,0.6096,0.6096
1.07,0.6159,0.6159
1.08,0.6223,0.6223
1.09,0.6287,0.6287
1.1,0.6351,0.6351
1.11,0.6414,0.6414
1.12,0.6478,0.6478
1.13,0.6542,0.6542
1.14,0.6606,0.6606
1.15,0.6669,0.6669
1.16,0.6733,0.6733
1.17,0.6797,0.6797
1.18,0.6860,0.6860
1.19,0.6924,0.6924
1.2,0.6987,0.6987
1.21,0.7051,0.7051
1.22,0.7114,0.7114
1.23,0.7178,0.7178
1.24,0.7242,0.7242
1.25,0.7305,0.7305
1.26,0.7368,0.7368
1.27,0.7432,0.7432
1.28,0.7495,0.7495
1.29,0.7559,0.7559
1.3,0.7622,0.7622
1.31,0.7685,0.7685
1.32,0.7749,0.7749
1.33,0.7812,0.7812
1.34,0.7875,0.7875
1.35,0.7939,0.7939
1.36,0.8002,0.8002
1.37,0.8065,0.8065
1.38,0.8128,0.8128
1.39,0.8191,0.8191
1.4,0.8255,0.8255
1.41,0.8318,0.8318
1.42,0.8381,0.8381
1.43,0.8444,0.8444
1.44,0.8507,0.8507
1.45,0.8570,0.8570
1.46,0.8633,0.8633
1.47,0.8696,0.8696
1.48,0.8759,0.8759
1.49,0.8821,0.8821
1.5,0.8884,0.8884
1.51,0.8947,0.8947
1.52,0.9010,0.9010
1.53,0.9073,0.9073
1.54,0.9135,0.9135
1.55,0.9198,0.9198
1.56,0.9261,0.9261
1.57,0.9323,0.9323
1.58,0.9386,0.9386
1.59,0.9449,0.9449
1.6,0.9511,0.9511
1.61,0.9574,0.9574
1.62,0.9636,0.9636
1.63,0.9699,0.9699
1.64,0.9761,0.9761
1.65,0.9823,0.9823
1.66,0.9886,0.9886
1.67,0.9948,0.9948
1.68,1.0010,1.0010
1.69,1.0073,1.0073
1.7,1.0135,1.0135
1.71,1.0197,1.0197
1.72,1.0259,1.0259
1.73,1.0321,1.0321
1.74,1.0383,1.0383
1.75,1.0445,1.0445
1.76,1.0507,1.0507
1.77,1.0569,1.0569
1.78,1.0631,1.0631
1.79,1.0693,1.0693
1.8,1.0755,1.0755
1.81,1.0817,1.0817
1.82,1.0879,1.0879
1.83,1.0941,1.0941
1.84,1.1002,1.1002
1.85,1.1064,1.1064
1.86,1.1126,1.1126
1.87,1.1187,1.1187
1.88,1.1249,1.1249
1.89,1.1311,1.1311
1.9,1.1372,1.1372
1.91,1.1434,1.1434
1.92,1.1495,1.1495
1.93,1.1557,1.1557
1.94,1.1618,1.1618
1.95,1.1679,1.1679
1.96,1.1741,1.1741
1.97,1.1802,1.1802
1.98,1.1863,1.1863
1.99,1.1924,1.1924
2,1.1986,1.1986
2.01,1.2047,1.2047
2.02,1.2108,1.2108
2.03,1.2169,1.2169
2.04,1.2230,1.2230
2.05,1.2291,1.2291
2.06,1.2352,1.2352
2.07,1.2413,1.2413
2.08,1.2474,1.2474
2.09,1.2535,1.2535
2.1,1.2596,1.2596
2.11,1.2656,1.2656
2.12,1.2717,1.2717
2.13,1.2778,1.2778
2.14,1.2839,1.2839
2.15,1.2899,1.2899
2.16,1.2960,1.2960
2.17,1.3021,1.3021
2.18,1.3081,1.3081
2.19,1.3142,1.3142
2.2,1.3202,1.3202
2.21,1.3263,1.3263
2.22,1.3323,1.3323
2.23,1.3383,1.3383
2.24,1.3444,1.3444
2.25,1.3504,1.3504
2.26,1.3564,1.3564
2.27,1.3625,1.3625
2.28,1.3685,1.3685
2.29,1.3745,1.3745
2.3,1.3805,1.3805
2.31,1.3865,1.4412
2.32,1.3925,1.5114
2.33,1.3985,1.5841
2.34,1.4045,1.6595
2.35,1.4105,1.7376
2.36,1.4165,1.8185
2.37,1.4225,1.9021
2.38,1.4285,1.9887
2.39,1.4345,2.0782
2.4,1.4404,2.1707
2.41,1.4464,2.2663
2.42,1.4524,2.3649
2.43,1.4584,2.4667
2.44,1.4643,2.5717
2.45,1.4703,2.6800
2.46,1.4762,2.7916
2.47,1.4822,2.9066
2.48,1.4881,3.0250
2.49,1.4941,3.1468
2.5,1.5000,3.2722
2.51,1.5060,3.4011
2.52,1.5119,3.5337
2.53,1.5178,3.6699
2.54,1.5238,3.8098
2.55,1.5297,3.9534
2.56,1.5356,4.1009
2.57,1.5415,4.2521
2.58,1.5474,4.4073
2.59,1.5534,4.5663
2.6,1.5593,4.7293
2.61,1.5652,4.8962
2.62,1.5711,5.0672
2.63,1.5770,5.2422
2.64,1.5829,5.4213
2.65,1.5887,5.6045
2.66,1.5946,5.7918
2.67,1.6005,5.9833
2.68,1.6064,6.1789
2.69,1.6123,6.3788
2.7,1.6181,6.5828
2.71,1.6240,6.7912
2.72,1.6299,7.0037
2.73,1.6357,7.2206
2.74,1.6416,7.4417
2.75,1.6474,7.6672
2.76,1.6533,7.8969
2.77,1.6591,8.1310
2.78,1.6650,8.3694
2.79,1.6708,8.6121
2.8,1.6767,8.8591
2.81,1.6825,9.1105
2.82,1.6883,9.3662
2.83,1.6942,9.6263
2.84,1.7000,9.8906
2.85,1.7058,10.1593
2.86,1.7116,10.4323
2.87,1.7174,10.7096
2.88,1.7232,10.9912
2.89,1.7290,11.2770
2.9,1.7348,11.5671
2.91,1.7406,11.8614
2.92,1.7464,12.1600
2.93,1.7522,12.4627
2.94,1.7580,12.7696
2.95,1.7638,13.0807
2.96,1.7696,13.3958
2.97,1.7754,13.7151
2.98,1.7811,14.0384
2.99,1.7869,14.3658
3,1.7927,14.6971
3.01,1.7984,15.0324
3.02,1.8042,15.3717
3.03,1.8100,15.7148
3.04,1.8157,16.0617
3.05,1.8215,16.4125
3.06,1.8272,16.7670
3.07,1.8330,17.1252
3.08,1.8387,17.4871
3.09,1.8444,17.8526
3.1,1.8502,18.2217
3.11,1.8559,18.5943
3.12,1.8616,18.9704
3.13,1.8674,19.3499
3.14,1.8731,19.7328
3.15,1.8788,20.1189
3.16,1.8845,20.5083
3.17,1.8902,20.9010
3.18,1.8959,21.2967
3.19,1.9016,21.6955
3.2,1.9073,22.0974
3.21,1.9130,22.5021
3.22,1.9187,22.9098
3.23,1.9244,23.3203
3.24,1.9301,23.7336
3.25,1.9358,24.1496
3.26,1.9415,24.5681
3.27,1.9472,24.9893
3.28,1.9528,25.4130
3.29,1.9585,25.8391
3.3,1.9642,26.2675
3.31,1.9698,26.6983
3.32,1.9755,27.1312
3.33,1.9811,27.5664
3.34,1.9868,28.0036
3.35,1.9925,28.4428
3.36,1.9981,28.8839
3.37,2.0037,29.3270
3.38,2.0094,29.7718
3.39,2.0150,30.2184
3.4,2.0207,30.6666
3.41,2.0263,31.1163
3.42,2.0319,31.5676
3.43,2.0375,32.0204
3.44,2.0432,32.4745
3.45,2.0488,32.9298
3.46,2.0544,33.3864
3.47,2.0600,33.8442
3.48,2.0656,34.3030
3.49,2.0712,34.7628
3.5,2.0768,35.2236
3.51,2.0824,35.6852
3.52,2.0880,36.1476
3.53,2.0936,36.6107
3.54,2.0992,37.0744
3.55,2.1048,37.5387
3.56,2.1104,38.0035
3.57,2.1160,38.4687
3.58,2.1215,38.9343
3.59,2.1271,39.4002
3.6,2.1327,39.8663
3.61,2.1383,40.3325
3.62,2.1438,40.7989
3.63,2.1494,41.2652
3.64,2.1549,41.7315
3.65,2.1605,42.1977
3.66,2.1660,42.6637
3.67,2.1716,43.1294
3.68,2.1771,43.5949
3.69,2.1827,44.0599
3.7,2.1882,44.5245
3.71,2.1938,44.9886
3.72,2.1993,45.4522
3.73,2.2048,45.9151
3.74,2.2103,46.3773
3.75,2.2159,46.8388
3.76,2.2214,47.2995
3.77,2.2269,47.7593
3.78,2.2324,48.2182
3.79,2.2379,48.6761
3.8,2.2434,49.1330
3.81,2.2489,49.5888
3.82,2.2544,50.0434
3.83,2.2599,50.4969
3.84,2.2654,50.9491
3.85,2.2709,51.4000
3.86,2.2764,51.8496
3.87,2.2819,52.2978
3.88,2.2874,52.7445
3.89,2.2929,53.1897
3.9,2.2984,53.6334
3.91,2.3038,54.0755
3.92,2.3093,54.5160
3.93,2.3148,54.9548
3.94,2.3202,55.3919
3.95,2.3257,55.8272
3.96,2.3312,56.2607
3.97,2.3366,56.6924
3.98,2.3421,57.1222
3.99,2.3475,57.5501
4,2.3530,57.9760
4.01,2.3584,58.3999
4.02,2.3638,58.8219
4.03,2.3693,59.2417
4.04,2.3747,59.6595
4.05,2.3802,60.0751
4.06,2.3856,60.4885
4.07,2.3910,60.8998
4.08,2.3964,61.3089
4.09,2.4018,61.7157
4.1,2.4073,62.1202
4.11,2.4127,62.5224
4.12,2.4181,62.9223
4.13,2.4235,63.3198
4.14,2.4289,63.7150
4.15,2.4343,64.1078
4.16,2.4397,64.4981
4.17,2.4451,64.8860
4.18,2.4505,65.2714
4.19,2.4559,65.6543
4.2,2.4613,66.0347
4.21,2.4667,66.4126
4.22,2.4720,66.7880
4.23,2.4774,67.1608
4.24,2.4828,67.5310
4.25,2.4882,67.8986
4.26,2.4935,68.2636
4.27,2.4989,68.6260
4.28,2.5043,68.9858
4.29,2.5096,69.3429
4.3,2.5150,69.6974
4.31,2.5203,70.0492
4.32,2.5257,70.3984
4.33,2.5310,70.7448
4.34,2.5364,71.0886
4.35,2.5417,71.4297
4.36,2.5471,71.7681
4.37,2.5524,72.1037
4.38,2.5578,72.4367
4.39,2.5631,72.7669
4.4,2.5684,73.0944
4.41,2.5737,73.4192
4.42,2.5791,73.7413
4.43,2.5844,74.0606
4.44,2.5897,74.3772
4.45,2.5950,74.6911
4.46,2.6003,75.0022
4.47,2.6056,75.3106
4.48,2.6109,75.6163
4.49,2.6163,75.9192
4.5,2.6216,76.2195
4.51,2.6269,76.5170
4.52,2.6321,76.8117
4.53,2.6374,77.1038
4.54,2.6427,77.3931
4.55,2.6480,77.6798
4.56,2.6533,77.9637
4.57,2.6586,78.2449
4.58,2.6639,78.5235
4.59,2.6691,78.7993
4.6,2.6744,79.0725
4.61,2.6797,79.3430
4.62,2.6849,79.6109
4.63,2.6902,79.8761
4.64,2.6955,80.1387
4.65,2.7007,80.3986
4.66,2.7060,80.6559
4.67,2.7112,80.9105
4.68,2.7165,81.1626
4.69,2.7217,81.4121
4.7,2.7270,81.6590
4.71,2.7322,81.9033
4.72,2.7375,82.1451
4.73,2.7427,82.3843
4.74,2.7479,82.6210
4.75,2.7532,82.8551
4.76,2.7584,83.0867
4.77,2.7636,83.3159
4.78,2.7689,83.5425
4.79,2.7741,83.7667
4.8,2.7793,83.9884
4.81,2.7845,84.2077
4.82,2.7897,84.4245
4.83,2.7949,84.6390
4.84,2.8001,84.8510
4.85,2.8053,85.0606
4.86,2.8105,85.2679
4.87,2.8157,85.4728
4.88,2.8209,85.6754
4.89,2.8261,85.8756
4.9,2.8313,86.0736
4.91,2.8365,86.2692
4.92,2.8417,86.4626
4.93,2.8469,86.6537
4.94,2.8521,86.8426
4.95,2.8572,87.0292
4.96,2.8624,87.2136
4.97,2.8676,87.3958
4.98,2.8728,87.5759
4.99,2.8779,87.7538
5,2.8831,87.9295
5.01,2.8883,88.1031
5.02,2.8934,88.2746
5.03,2.8986,88.4440
5.04,2.9037,88.6113
5.05,2.9089,88.7766
5.06,2.9140,88.9398
5.07,2.9192,89.1010
5.08,2.9243,89.2602
5.09,2.9295,89.4174
5.1,2.9346,89.5726
5.11,2.9397,89.7259
5.12,2.9449,89.8772
5.13,2.9500,90.0266
5.14,2.9551,90.1741
5.15,2.9603,90.3197
5.16,2.9654,90.4635
5.17,2.9705,90.6053
5.18,2.9756,90.7454
5.19,2.9807,90.8837
5.2,2.9858,91.0201
5.21,2.9909,91.1548
5.22,2.9961,91.2877
5.23,3.0012,91.4188
5.24,3.0063,91.5482
5.25,3.0114,91.6760
5.26,3.0165,91.8020
5.27,3.0216,91.9263
5.28,3.0266,92.0490
5.29,3.0317,92.1700
5.3,3.0368,92.2894
5.31,3.0419,92.4072
5.32,3.0470,92.5234
5.33,3.0521,92.6381
5.34,3.0571,92.7511
5.35,3.0622,92.8626
5.36,3.0673,92.9726
5.37,3.0724,93.0811
5.38,3.0774,93.1881
5.39,3.0825,93.2936
5.4,3.0876,93.3977
5.41,3.0926,93.5003
5.42,3.0977,93.6015
5.43,3.1027,93.7013
5.44,3.1078,93.7996
5.45,3.1128,93.8966
5.46,3.1179,93.9923
5.47,3.1229,94.0866
5.48,3.1280,94.1795
5.49,3.1330,94.2711
5.5,3.1380,94.3615
5.51,3.1431,94.4505
5.52,3.1481,94.5383
5.53,3.1531,94.6248
5.54,3.1582,94.7101
5.55,3.1632,94.7941
5.56,3.1682,94.8769
5.57,3.1732,94.9586
5.58,3.1782,95.0390
5.59,3.1833,95.1183
5.6,3.1883,95.1964
5.61,3.1933,95.2734
5.62,3.1983,95.3492
5.63,3.2033,95.4240
5.64,3.2083,95.4976
5.65,3.2133,95.5702
5.66,3.2183,95.6417
5.67,3.2233,95.7121
5.68,3.2283,95.7815
5.69,3.2333,95.8499
5.7,3.2383,95.9172
5.71,3.2432,95.9835
5.72,3.2482,96.0489
5.73,3.2532,96.1132
5.74,3.2582,96.1766
5.75,3.2632,96.2391
5.76,3.2681,96.3006
5.77,3.2731,96.3611
5.78,3.2781,96.4208
5.79,3.2830,96.4796
5.8,3.2880,96.5374
5.81,3.2930,96.5944
5.82,3.2979,96.6505
5.83,3.3029,96.7057
5.84,3.3078,96.7601
5.85,3.3128,96.8137
5.86,3.3177,96.8665
5.87,3.3227,96.9184
5.88,3.3276,96.9695
5.89,3.3326,97.0199
5.9,3.3375,97.0694
5.91,3.3424,97.1182
5.92,3.3474,97.1663
5.93,3.3523,97.2135
5.94,3.3572,97.2601
5.95,3.3622,97.3059
5.96,3.3671,97.3510
5.97,3.3720,97.3954
5.98,3.3769,97.4391
5.99,3.3819,97.4822
6,3.3868,97.5245
6.01,3.3917,97.5662
6.02,3.3966,97.6072
6.03,3.4015,97.6475
6.04,3.4064,97.6873
6.05,3.4113,97.7264
6.06,3.4162,97.7648
6.07,3.4211,97.8027
6.08,3.4260,97.8399
6.09,3.4309,97.8766
6.1,3.4358,97.9127
6.11,3.4407,97.9482
6.12,3.4456,97.9831
6.13,3.4505,98.0175
6.14,3.4554,98.0513
6.15,3.4603,98.0845
6.16,3.4651,98.1173
6.17,3.4700,98.1495
6.18,3.4749,98.1811
6.19,3.4798,98.2123
6.2,3.4846,98.2430
6.21,3.4895,98.2731
6.22,3.4944,98.3028
6.23,3.4992,98.3320
6.24,3.5041,98.3607
6.25,3.5090,98.3890
6.26,3.5138,98.4167
6.27,3.5187,98.4441
6.28,3.5235,98.4709
6.29,3.5284,98.4974
6.3,3.5332,98.5234
6.31,3.5381,98.5489
6.32,3.5429,98.5741
6.33,3.5478,98.5988
6.34,3.5526,98.6232
6.35,3.5574,98.6471
6.36,3.5623,98.6706
6.37,3.5671,98.6937
6.38,3.5719,98.7165
6.39,3.5768,98.7389
6.4,3.5816,98.7609
6.41,3.5864,98.7825
6.42,3.5912,98.8038
6.43,3.5961,98.8247
6.44,3.6009,98.8453
6.45,3.6057,98.8655
6.46,3.6105,98.8854
6.47,3.6153,98.9049
6.48,3.6201,98.9241
6.49,3.6249,98.9430
6.5,3.6297,98.9616
6.51,3.6345,98.9799
6.52,3.6393,98.9978
6.53,3.6441,99.0155
6.54,3.6489,99.0329
6.55,3.6537,99.0499
