wd(m),factor
0.0,0.0
0.01,0.005
0.02,0.01
0.03,0.015
0.04,0.02
0.05,0.026
0.06,0.031
0.07,0.036
0.08,0.041
0.09,0.046
0.1,0.051
0.11,0.056
0.12,0.061
0.13,0.066
0.14,0.071
0.15,0.077
0.16,0.082
0.17,0.087
0.18,0.092
0.19,0.097
0.2,0.102
0.21,0.107
0.22,0.112
0.23,0.117
0.24,0.123
0.25,0.128
0.26,0.133
0.27,0.138
0.28,0.143
0.29,0.148
0.3,0.153
0.31,0.158
0.32,0.163
0.33,0.169
0.34,0.174
0.35,0.179
0.36,0.184
0.37,0.189
0.38,0.194
0.39,0.199
0.4,0.204
0.41,0.209
0.42,0.214
0.43,0.22
0.44,0.225
0.45,0.23
0.46,0.235
0.47,0.24
0.48,0.245
0.49,0.25
0.5,0.255
0.51,0.259
0.52,0.262
0.53,0.266
0.54,0.269
0.55,0.272
0.56,0.276
0.57,0.279
0.58,0.283
0.59,0.286
0.6,0.289
0.61,0.293
0.62,0.296
0.63,0.3
0.64,0.303
0.65,0.306
0.66,0.31
0.67,0.313
0.68,0.317
0.69,0.32
0.7,0.323
0.71,0.327
0.72,0.33
0.73,0.334
0.74,0.337
0.75,0.34
0.76,0.344
0.77,0.347
0.78,0.351
0.79,0.354
0.8,0.357
0.81,0.361
0.82,0.364
0.83,0.368
0.84,0.371
0.85,0.374
0.86,0.378
0.87,0.381
0.88,0.385
0.89,0.388
0.9,0.391
0.91,0.395
0.92,0.398
0.93,0.402
0.94,0.405
0.95,0.409
0.96,0.412
0.97,0.415
0.98,0.419
0.99,0.422
1.0,0.426
1.01,0.427
1.02,0.428
1.03,0.429
1.04,0.43
1.05,0.431
1.06,0.432
1.07,0.433
1.08,0.434
1.09,0.435
1.1,0.436
1.11,0.437
1.12,0.438
1.13,0.439
1.14,0.44
1.15,0.441
1.16,0.443
1.17,0.444
1.18,0.445
1.19,0.446
1.2,0.447
1.21,0.448
1.22,0.449
1.23,0.45
1.24,0.451
1.25,0.452
1.26,0.453
1.27,0.454
1.28,0.455
1.29,0.456
1.3,0.457
1.31,0.459
1.32,0.46
1.33,0.461
1.34,0.462
1.35,0.463
1.36,0.464
1.37,0.465
1.38,0.466
1.39,0.467
1.4,0.468
1.41,0.469
1.42,0.47
1.43,0.471
1.44,0.472
1.45,0.473
1.46,0.474
1.47,0.476
1.48,0.477
1.49,0.478
1.5,0.479
1.51,0.48
1.52,0.481
1.53,0.482
1.54,0.483
1.55,0.484
1.56,0.485
1.57,0.486
1.58,0.487
1.59,0.488
1.6,0.489
1.61,0.49
1.62,0.491
1.63,0.493
1.64,0.494
1.65,0.495
1.66,0.496
1.67,0.497
1.68,0.498
1.69,0.499
1.7,0.5
1.71,0.501
1.72,0.502
1.73,0.503
1.74,0.504
1.75,0.505
1.76,0.506
1.77,0.507
1.78,0.509
1.79,0.51
1.8,0.511
1.81,0.512
1.82,0.513
1.83,0.514
1.84,0.515
1.85,0.516
1.86,0.517
1.87,0.518
1.88,0.519
1.89,0.52
1.9,0.521
1.91,0.522
1.92,0.523
1.93,0.524
1.94,0.526
1.95,0.527
1.96,0.528
1.97,0.529
1.98,0.53
1.99,0.531
2.0,0.532
2.01,0.534
2.02,0.536
2.03,0.538
2.04,0.54
2.05,0.541
2.06,0.543
2.07,0.545
2.08,0.547
2.09,0.549
2.1,0.551
2.11,0.553
2.12,0.555
2.13,0.557
2.14,0.559
2.15,0.561
2.16,0.563
2.17,0.564
2.18,0.566
2.19,0.568
2.2,0.57
2.21,0.572
2.22,0.574
2.23,0.576
2.24,0.578
2.25,0.58
2.26,0.582
2.27,0.584
2.28,0.586
2.29,0.587
2.3,0.589
2.31,0.591
2.32,0.593
2.33,0.595
2.34,0.597
2.35,0.599
2.36,0.601
2.37,0.603
2.38,0.605
2.39,0.607
2.4,0.609
2.41,0.61
2.42,0.612
2.43,0.614
2.44,0.616
2.45,0.618
2.46,0.62
2.47,0.622
2.48,0.624
2.49,0.626
2.5,0.628
2.51,0.63
2.52,0.631
2.53,0.633
2.54,0.635
2.55,0.637
2.56,0.639
2.57,0.641
2.58,0.643
2.59,0.645
2.6,0.647
2.61,0.649
2.62,0.651
2.63,0.653
2.64,0.654
2.65,0.656
2.66,0.658
2.67,0.66
2.68,0.662
2.69,0.664
2.7,0.666
2.71,0.668
2.72,0.67
2.73,0.672
2.74,0.674
2.75,0.676
2.76,0.677
2.77,0.679
2.78,0.681
2.79,0.683
2.8,0.685
2.81,0.687
2.82,0.689
2.83,0.691
2.84,0.693
2.85,0.695
2.86,0.697
2.87,0.699
2.88,0.7
2.89,0.702
2.9,0.704
2.91,0.706
2.92,0.708
2.93,0.71
2.94,0.712
2.95,0.714
2.96,0.716
2.97,0.718
2.98,0.72
2.99,0.721
3.0,0.723
3.01,0.724
3.02,0.726
3.03,0.727
3.04,0.728
3.05,0.729
3.06,0.73
3.07,0.731
3.08,0.732
3.09,0.733
3.1,0.734
3.11,0.735
3.12,0.736
3.13,0.737
3.14,0.738
3.15,0.739
3.16,0.74
3.17,0.741
3.18,0.743
3.19,0.744
3.2,0.745
3.21,0.746
3.22,0.747
3.23,0.748
3.24,0.749
3.25,0.75
3.26,0.751
3.27,0.752
3.28,0.753
3.29,0.754
3.3,0.755
3.31,0.756
3.32,0.757
3.33,0.759
3.34,0.76
3.35,0.761
3.36,0.762
3.37,0.763
3.38,0.764
3.39,0.765
3.4,0.766
3.41,0.767
3.42,0.768
3.43,0.769
3.44,0.77
3.45,0.771
3.46,0.772
3.47,0.773
3.48,0.774
3.49,0.776
3.5,0.777
3.51,0.778
3.52,0.779
3.53,0.78
3.54,0.781
3.55,0.782
3.56,0.783
3.57,0.784
3.58,0.785
3.59,0.786
3.6,0.787
3.61,0.788
3.62,0.789
3.63,0.79
3.64,0.791
3.65,0.793
3.66,0.794
3.67,0.795
3.68,0.796
3.69,0.797
3.7,0.798
3.71,0.799
3.72,0.8
3.73,0.801
3.74,0.802
3.75,0.803
3.76,0.804
3.77,0.805
3.78,0.806
3.79,0.807
3.8,0.809
3.81,0.81
3.82,0.811
3.83,0.812
3.84,0.813
3.85,0.814
3.86,0.815
3.87,0.816
3.88,0.817
3.89,0.818
3.9,0.819
3.91,0.82
3.92,0.821
3.93,0.822
3.94,0.823
3.95,0.824
3.96,0.826
3.97,0.827
3.98,0.828
3.99,0.829
4.0,0.83
4.01,0.831
4.02,0.833
4.03,0.834
4.04,0.835
4.05,0.837
4.06,0.838
4.07,0.839
4.08,0.841
4.09,0.842
4.1,0.844
4.11,0.845
4.12,0.846
4.13,0.848
4.14,0.849
4.15,0.851
4.16,0.852
4.17,0.853
4.18,0.855
4.19,0.856
4.2,0.857
4.21,0.859
4.22,0.86
4.23,0.862
4.24,0.863
4.25,0.864
4.26,0.866
4.27,0.867
4.28,0.869
4.29,0.87
4.3,0.871
4.31,0.873
4.32,0.874
4.33,0.875
4.34,0.877
