wd(m),Factor
0,0
0.01,0.003272212
0.02,0.006515312
0.03,0.009729302
0.04,0.012914181
0.05,0.016069948
0.06,0.019196605
0.07,0.022294151
0.08,0.025362586
0.09,0.02840191
0.10,0.031412124
0.11,0.034393226
0.12,0.037345217
0.13,0.040268097
0.14,0.043161867
0.15,0.046026525
0.16,0.048862073
0.17,0.05166851
0.18,0.054445835
0.19,0.05719405
0.20,0.059913154
0.21,0.062603147
0.22,0.065264029
0.23,0.0678958
0.24,0.07049846
0.25,0.073072009
0.26,0.075616447
0.27,0.078131774
0.28,0.08061799
0.29,0.083075096
0.30,0.08550309
0.31,0.087901974
0.32,0.090271746
0.33,0.092612408
0.34,0.094923959
0.35,0.097206399
0.36,0.099459727
0.37,0.101683945
0.38,0.103879052
0.39,0.106045048
0.40,0.108181933
0.41,0.110289708
0.42,0.112368371
0.43,0.114417923
0.44,0.116438365
0.45,0.118429695
0.46,0.120391914
0.47,0.122325023
0.48,0.124229021
0.49,0.126103907
0.50,0.127949683
0.51,0.129766348
0.52,0.131553902
0.53,0.133312345
0.54,0.135041677
0.55,0.136741898
0.56,0.138413008
0.57,0.140055007
0.58,0.141667895
0.59,0.143251673
0.60,0.144806339
0.61,0.146331895
0.62,0.147828339
0.63,0.149295673
0.64,0.150733895
0.65,0.152143007
0.66,0.153523008
0.67,0.154873898
0.68,0.156195677
0.69,0.157488345
0.70,0.158751902
0.71,0.159986348
0.72,0.161191683
0.73,0.162367907
0.74,0.163515021
0.75,0.164633023
0.76,0.165721914
0.77,0.166781695
0.78,0.167812365
0.79,0.168813923
0.80,0.169786371
0.81,0.170729708
0.82,0.171643933
0.83,0.172529048
0.84,0.173385052
0.85,0.174211945
0.86,0.175009727
0.87,0.175778399
0.88,0.176517959
0.89,0.177228408
0.90,0.177909746
0.91,0.178561974
0.92,0.17918509
0.93,0.179779096
0.94,0.18034399
0.95,0.180879774
0.96,0.181386447
0.97,0.181864009
0.98,0.18231246
0.99,0.1827318
1.00,0.183122029
1.01,0.183593131
1.02,0.184064916
1.03,0.184537384
1.04,0.185010536
1.05,0.18548437
1.06,0.185958887
1.07,0.186434088
1.08,0.186909971
1.09,0.187386538
