wd(m),factor(-)
0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.13,0
0.14,0
0.15,0
0.16,0
0.17,0
0.18,0
0.19,0
0.2,0
0.21,0
0.22,0
0.23,0
0.24,0
0.25,0
0.26,0
0.27,0
0.28,0
0.29,0
0.3,0
0.31,0
0.32,0
0.33,0
0.34,0
0.35,0
0.36,0
0.37,0
0.38,0
0.39,0
0.4,0
0.41,0
0.42,0
0.43,0
0.44,0
0.45,0
0.46,0
0.47,0
0.48,0
0.49,0
0.5,0
0.51,0.001313
0.52,0.001344
0.53,0.001374
0.54,0.001405
0.55,0.001436
0.56,0.001467
0.57,0.001499
0.58,0.00153
0.59,0.001561
0.6,0.001592
0.61,0.001623
0.62,0.001655
0.63,0.001686
0.64,0.001717
0.65,0.001749
0.66,0.00178
0.67,0.001811
0.68,0.001843
0.69,0.001874
0.7,0.001906
0.71,0.001937
0.72,0.001969
0.73,0.002001
0.74,0.002032
0.75,0.002064
0.76,0.002095
0.77,0.002127
0.78,0.002159
0.79,0.00219
0.8,0.002222
0.81,0.002254
0.82,0.002286
0.83,0.002317
0.84,0.002349
0.85,0.002381
0.86,0.002413
0.87,0.002444
0.88,0.002476
0.89,0.002508
0.9,0.00254
0.91,0.002572
0.92,0.002603
0.93,0.002635
0.94,0.002667
0.95,0.002699
0.96,0.002731
0.97,0.002763
0.98,0.002794
0.99,0.002826
1,0.002858
1.01,0.00289
1.02,0.002922
1.03,0.002954
1.04,0.002985
1.05,0.003017
1.06,0.003049
1.07,0.003081
1.08,0.003113
1.09,0.003145
1.1,0.003177
1.11,0.003208
1.12,0.00324
1.13,0.003272
1.14,0.003304
1.15,0.003336
1.16,0.003368
1.17,0.003399
1.18,0.003431
1.19,0.003463
1.2,0.003495
1.21,0.003527
1.22,0.003558
1.23,0.00359
1.24,0.003622
1.25,0.003654
1.26,0.003686
1.27,0.003717
1.28,0.003749
1.29,0.003781
1.3,0.003813
1.31,0.003844
1.32,0.003876
1.33,0.003908
1.34,0.00394
1.35,0.003971
1.36,0.004003
1.37,0.004035
1.38,0.004066
1.39,0.004098
1.4,0.00413
1.41,0.004161
1.42,0.004193
1.43,0.004225
1.44,0.004256
1.45,0.004288
1.46,0.004319
1.47,0.004351
1.48,0.004383
1.49,0.004414
1.5,0.004446
1.51,0.004477
1.52,0.004509
1.53,0.00454
1.54,0.004572
1.55,0.004603
1.56,0.004635
1.57,0.004667
1.58,0.004698
1.59,0.004729
1.6,0.004761
1.61,0.004792
1.62,0.004824
1.63,0.004855
1.64,0.004887
1.65,0.004918
1.66,0.004949
1.67,0.004981
1.68,0.005012
1.69,0.005044
1.7,0.005075
1.71,0.005106
1.72,0.005138
1.73,0.005169
1.74,0.0052
1.75,0.005232
1.76,0.005263
1.77,0.005294
1.78,0.005325
1.79,0.005357
1.8,0.005388
1.81,0.005419
1.82,0.00545
1.83,0.005481
1.84,0.005513
1.85,0.005544
1.86,0.005575
1.87,0.005606
1.88,0.005637
1.89,0.005668
1.9,0.005699
1.91,0.00573
1.92,0.005761
1.93,0.005793
1.94,0.005824
1.95,0.005855
1.96,0.005886
1.97,0.005917
1.98,0.005948
1.99,0.005979
2,0.00601
2.01,0.006041
2.02,0.006071
2.03,0.006102
2.04,0.006133
2.05,0.006164
2.06,0.006195
2.07,0.006226
2.08,0.006257
2.09,0.006288
2.1,0.006318
2.11,0.006349
2.12,0.00638
2.13,0.006411
2.14,0.006442
2.15,0.006472
2.16,0.006503
2.17,0.006534
2.18,0.006565
2.19,0.006595
2.2,0.006626
2.21,0.006657
2.22,0.006687
2.23,0.006718
2.24,0.006749
2.25,0.006779
2.26,0.00681
2.27,0.00684
2.28,0.006871
2.29,0.006902
2.3,0.006932
2.31,0.006963
2.32,0.006993
2.33,0.007024
2.34,0.007054
2.35,0.007085
2.36,0.007115
2.37,0.007146
2.38,0.007176
2.39,0.007206
2.4,0.007237
2.41,0.007267
2.42,0.007298
2.43,0.007328
2.44,0.007358
2.45,0.007389
2.46,0.007419
2.47,0.007449
2.48,0.00748
2.49,0.00751
2.5,0.00754
2.51,0.007571
2.52,0.007601
2.53,0.007631
2.54,0.007661
2.55,0.007691
2.56,0.007722
2.57,0.007752
2.58,0.007782
2.59,0.007812
2.6,0.007842
2.61,0.007872
2.62,0.007902
2.63,0.007933
2.64,0.007963
2.65,0.007993
2.66,0.008023
2.67,0.008053
2.68,0.008083
2.69,0.008113
2.7,0.008143
2.71,0.008173
2.72,0.008203
2.73,0.008233
2.74,0.008263
2.75,0.008292
2.76,0.008322
2.77,0.008352
2.78,0.008382
2.79,0.008412
2.8,0.008442
2.81,0.008472
2.82,0.008502
2.83,0.008531
2.84,0.008561
2.85,0.008591
2.86,0.008621
2.87,0.00865
2.88,0.00868
2.89,0.00871
2.9,0.00874
2.91,0.008769
2.92,0.008799
2.93,0.008829
2.94,0.008858
2.95,0.008888
2.96,0.008918
2.97,0.008947
2.98,0.008977
2.99,0.009006
3,0.009036
3.01,0.009066
3.02,0.009095
3.03,0.009125
3.04,0.009154
3.05,0.009184
3.06,0.009213
3.07,0.009243
3.08,0.009272
3.09,0.009301
3.1,0.009331
3.11,0.00936
3.12,0.00939
3.13,0.009419
3.14,0.009449
3.15,0.009478
3.16,0.009507
3.17,0.009537
3.18,0.009566
3.19,0.009595
3.2,0.009625
3.21,0.009654
3.22,0.009683
3.23,0.009712
3.24,0.009742
3.25,0.009771
3.26,0.0098
3.27,0.009829
3.28,0.009858
3.29,0.009888
3.3,0.009917
3.31,0.009946
3.32,0.009975
3.33,0.010004
3.34,0.010033
3.35,0.010062
3.36,0.010091
3.37,0.010121
3.38,0.01015
3.39,0.010179
3.4,0.010208
3.41,0.010237
3.42,0.010266
3.43,0.010295
3.44,0.010324
3.45,0.010353
3.46,0.010382
3.47,0.01041
3.48,0.010439
3.49,0.010468
3.5,0.010497
3.51,0.010526
3.52,0.010555
3.53,0.010584
3.54,0.010613
3.55,0.010641
3.56,0.01067
3.57,0.010699
3.58,0.010728
3.59,0.010757
3.6,0.010785
3.61,0.010814
3.62,0.010843
3.63,0.010872
3.64,0.0109
3.65,0.010929
3.66,0.010958
3.67,0.010986
3.68,0.011015
3.69,0.011044
3.7,0.011072
3.71,0.011101
3.72,0.01113
3.73,0.011158
3.74,0.011187
3.75,0.011215
3.76,0.011244
3.77,0.011272
3.78,0.011301
3.79,0.011329
3.8,0.011358
3.81,0.011386
3.82,0.011415
3.83,0.011443
3.84,0.011472
3.85,0.0115
3.86,0.011529
3.87,0.011557
3.88,0.011585
3.89,0.011614
3.9,0.011642
3.91,0.011671
3.92,0.011699
3.93,0.011727
3.94,0.011756
3.95,0.011784
3.96,0.011812
3.97,0.01184
3.98,0.011869
3.99,0.011897
4,0.011925
4.01,0.011953
4.02,0.011982
4.03,0.01201
4.04,0.012038
4.05,0.012066
4.06,0.012094
4.07,0.012123
4.08,0.012151
4.09,0.012179
4.1,0.012207
4.11,0.012235
4.12,0.012263
4.13,0.012291
4.14,0.012319
4.15,0.012347
4.16,0.012375
4.17,0.012404
4.18,0.012432
4.19,0.01246
4.2,0.012488
4.21,0.012516
4.22,0.012544
4.23,0.012571
4.24,0.012599
4.25,0.012627
4.26,0.012655
4.27,0.012683
4.28,0.012711
4.29,0.012739
4.3,0.012767
4.31,0.012795
