Strategie,Preventieve Evacuatie
Voorbereiding,2
TRAJECT_ID,p1,p2,p3,p4,p5
35-1,0.8316,0.0684,0.01,0.072,0.018
35-2,0.8316,0.0684,0.01,0.072,0.018
24-1,0.8316,0.0684,0.01,0.072,0.018
24-2,0.8316,0.0684,0.01,0.072,0.018
16-1,0.8316,0.0684,0.01,0.072,0.018
16-3,0.8316,0.0684,0.01,0.072,0.018
16-4,0.8316,0.0684,0.01,0.072,0.018
23-1,0.8316,0.0684,0.01,0.072,0.018
24-3,0.8316,0.0684,0.01,0.072,0.018
15-1,0.8316,0.0684,0.01,0.072,0.018
14-3,0.5904,0.2096,0.02,0.144,0.036
16-2,0.5904,0.2096,0.02,0.144,0.036
17-1,0.5904,0.2096,0.02,0.144,0.036
17-2,0.5904,0.2096,0.02,0.144,0.036
17-3,0.5904,0.2096,0.02,0.144,0.036
18-1,0.5904,0.2096,0.02,0.144,0.036
19-1,0.5904,0.2096,0.02,0.144,0.036
20-1,0.5904,0.2096,0.02,0.144,0.036
20-2,0.5904,0.2096,0.02,0.144,0.036
20-3,0.5904,0.2096,0.02,0.144,0.036
20-4,0.5904,0.2096,0.02,0.144,0.036
21-1,0.5904,0.2096,0.02,0.144,0.036
21-2,0.5904,0.2096,0.02,0.144,0.036
22-1,0.5904,0.2096,0.02,0.144,0.036
22-2,0.5904,0.2096,0.02,0.144,0.036
15-2,0.5904,0.2096,0.02,0.144,0.036
14-2,0.5904,0.2096,0.02,0.144,0.036
6-3,0.4704,0.3296,0.02,0.144,0.036
6-4,0.4704,0.3296,0.02,0.144,0.036
6-5,0.4704,0.3296,0.02,0.144,0.036
6-6,0.4704,0.3296,0.02,0.144,0.036
6-7,0.4704,0.3296,0.02,0.144,0.036
91-1,0.8,0,0.02,0.144,0.036
92-1,0.8,0,0.02,0.144,0.036
87-1,0.8,0,0.02,0.144,0.036
56-1,0.8,0,0.02,0.144,0.036
58-1,0.8,0,0.02,0.144,0.036
59-1,0.8,0,0.02,0.144,0.036
60-1,0.8,0,0.02,0.144,0.036
61-1,0.8,0,0.02,0.144,0.036
63-1,0.8,0,0.02,0.144,0.036
64-1,0.8,0,0.02,0.144,0.036
65-1,0.8,0,0.02,0.144,0.036
66-1,0.8,0,0.02,0.144,0.036
67-1,0.8,0,0.02,0.144,0.036
68-1,0.8,0,0.02,0.144,0.036
68-2,0.8,0,0.02,0.144,0.036
69-1,0.8,0,0.02,0.144,0.036
70-1,0.8,0,0.02,0.144,0.036
71-1,0.8,0,0.02,0.144,0.036
72-1,0.8,0,0.02,0.144,0.036
73-1,0.8,0,0.02,0.144,0.036
75-1,0.8,0,0.02,0.144,0.036
76-2,0.8,0,0.02,0.144,0.036
76a-1,0.8,0,0.02,0.144,0.036
77-1,0.8,0,0.02,0.144,0.036
80-1,0.8,0,0.02,0.144,0.036
81-1,0.8,0,0.02,0.144,0.036
82-1,0.8,0,0.02,0.144,0.036
83-1,0.8,0,0.02,0.144,0.036
85-1,0.8,0,0.02,0.144,0.036
86-1,0.8,0,0.02,0.144,0.036
88-1,0.8,0,0.02,0.144,0.036
89-1,0.8,0,0.02,0.144,0.036
90-1,0.8,0,0.02,0.144,0.036
93-1,0.8,0,0.02,0.144,0.036
94-1,0.8,0,0.02,0.144,0.036
95-1,0.8,0,0.02,0.144,0.036
79-1,0.8,0,0.02,0.144,0.036
78a-1,0.8,0,0.02,0.144,0.036
55-1,0.8,0,0.02,0.144,0.036
54-1,0.8,0,0.02,0.144,0.036
54-1,0.8,0,0.02,0.144,0.036
78-1,0.8,0,0.02,0.144,0.036
76-1,0.8,0,0.02,0.144,0.036
74-1,0.8,0,0.02,0.144,0.036
57-1,0.8,0,0.02,0.144,0.036
11-1,0.7824,0.0176,0.02,0.144,0.036
45-2,0.7824,0.0176,0.02,0.144,0.036
46-1,0.7824,0.0176,0.02,0.144,0.036
10-1,0.7824,0.0176,0.02,0.144,0.036
10-2,0.7824,0.0176,0.02,0.144,0.036
10-3,0.7824,0.0176,0.02,0.144,0.036
6-1,0.7824,0.0176,0.02,0.144,0.036
6-2,0.7824,0.0176,0.02,0.144,0.036
7-1,0.7824,0.0176,0.02,0.144,0.036
7-2,0.7824,0.0176,0.02,0.144,0.036
8-1,0.7824,0.0176,0.02,0.144,0.036
8-2,0.7824,0.0176,0.02,0.144,0.036
8-3,0.7824,0.0176,0.02,0.144,0.036
8-4,0.7824,0.0176,0.02,0.144,0.036
9-1,0.7824,0.0176,0.02,0.144,0.036
9-2,0.7824,0.0176,0.02,0.144,0.036
11-2,0.7824,0.0176,0.02,0.144,0.036
12-2,0.8,0,0.02,0.144,0.036
13-6,0.8,0,0.02,0.144,0.036
13-7,0.8,0,0.02,0.144,0.036
13-8,0.8,0,0.02,0.144,0.036
13-9,0.8,0,0.02,0.144,0.036
44-2,0.8,0,0.02,0.144,0.036
13b-1,0.8,0,0.02,0.144,0.036
13a-1,0.8,0,0.02,0.144,0.036
12-1,0.2464,0.5536,0.02,0.144,0.036
13-1,0.2464,0.5536,0.02,0.144,0.036
