Strategie,Verticale Evacuatie
Voorbereiding,2
TRAJECT_ID,p1,p2,p3,p4,p5
35-2,0.1,0,0.45,0.36,0.09
24-1,0.1,0,0.45,0.36,0.09
24-2,0.1,0,0.45,0.36,0.09
35-1,0.1,0,0.45,0.36,0.09
16-1,0.1,0,0.45,0.36,0.09
16-3,0.1,0,0.45,0.36,0.09
16-4,0.1,0,0.45,0.36,0.09
23-1,0.1,0,0.45,0.36,0.09
15-1,0.1,0,0.45,0.36,0.09
24-3,0.1,0,0.45,0.36,0.09
16-2,0.12,0.08,0.4,0.32,0.08
22-1,0.12,0.08,0.4,0.32,0.08
22-2,0.12,0.08,0.4,0.32,0.08
21-1,0.12,0.08,0.4,0.32,0.08
21-2,0.12,0.08,0.4,0.32,0.08
17-1,0.12,0.08,0.4,0.32,0.08
17-2,0.12,0.08,0.4,0.32,0.08
17-3,0.12,0.08,0.4,0.32,0.08
15-2,0.12,0.08,0.4,0.32,0.08
18-1,0.12,0.08,0.4,0.32,0.08
19-1,0.12,0.08,0.4,0.32,0.08
20-1,0.12,0.08,0.4,0.32,0.08
20-2,0.12,0.08,0.4,0.32,0.08
20-3,0.12,0.08,0.4,0.32,0.08
20-4,0.12,0.08,0.4,0.32,0.08
14-3,0.12,0.08,0.4,0.32,0.08
14-2,0.12,0.08,0.4,0.32,0.08
6-3,0.20,0.00,0.4,0.32,0.08
6-4,0.20,0.00,0.4,0.32,0.08
6-5,0.20,0.00,0.4,0.32,0.08
6-6,0.20,0.00,0.4,0.32,0.08
6-7,0.20,0.00,0.4,0.32,0.08
92-1,0.20,0.00,0.4,0.32,0.08
91-1,0.20,0.00,0.4,0.32,0.08
88-1,0.20,0.00,0.4,0.32,0.08
82-1,0.20,0.00,0.4,0.32,0.08
56-1,0.20,0.00,0.4,0.32,0.08
65-1,0.20,0.00,0.4,0.32,0.08
70-1,0.20,0.00,0.4,0.32,0.08
73-1,0.20,0.00,0.4,0.32,0.08
71-1,0.20,0.00,0.4,0.32,0.08
59-1,0.20,0.00,0.4,0.32,0.08
69-1,0.20,0.00,0.4,0.32,0.08
63-1,0.20,0.00,0.4,0.32,0.08
64-1,0.20,0.00,0.4,0.32,0.08
93-1,0.20,0.00,0.4,0.32,0.08
75-1,0.20,0.00,0.4,0.32,0.08
95-1,0.20,0.00,0.4,0.32,0.08
55-1,0.20,0.00,0.4,0.32,0.08
83-1,0.20,0.00,0.4,0.32,0.08
58-1,0.20,0.00,0.4,0.32,0.08
67-1,0.20,0.00,0.4,0.32,0.08
72-1,0.20,0.00,0.4,0.32,0.08
54-1,0.20,0.00,0.4,0.32,0.08
66-1,0.20,0.00,0.4,0.32,0.08
80-1,0.20,0.00,0.4,0.32,0.08
90-1,0.20,0.00,0.4,0.32,0.08
94-1,0.20,0.00,0.4,0.32,0.08
87-1,0.20,0.00,0.4,0.32,0.08
86-1,0.20,0.00,0.4,0.32,0.08
74-1,0.20,0.00,0.4,0.32,0.08
57-1,0.20,0.00,0.4,0.32,0.08
54-1,0.20,0.00,0.4,0.32,0.08
78-1,0.20,0.00,0.4,0.32,0.08
76a-1,0.20,0.00,0.4,0.32,0.08
77-1,0.20,0.00,0.4,0.32,0.08
76-1,0.20,0.00,0.4,0.32,0.08
76-2,0.20,0.00,0.4,0.32,0.08
81-1,0.20,0.00,0.4,0.32,0.08
79-1,0.20,0.00,0.4,0.32,0.08
85-1,0.20,0.00,0.4,0.32,0.08
68-2,0.20,0.00,0.4,0.32,0.08
68-1,0.20,0.00,0.4,0.32,0.08
89-1,0.20,0.00,0.4,0.32,0.08
61-1,0.20,0.00,0.4,0.32,0.08
60-1,0.20,0.00,0.4,0.32,0.08
78a-1,0.20,0.00,0.4,0.32,0.08
46-1,0.20,0.00,0.4,0.32,0.08
8-1,0.20,0.00,0.4,0.32,0.08
8-2,0.20,0.00,0.4,0.32,0.08
8-3,0.20,0.00,0.4,0.32,0.08
8-4,0.20,0.00,0.4,0.32,0.08
6-1,0.20,0.00,0.4,0.32,0.08
6-2,0.20,0.00,0.4,0.32,0.08
45-2,0.20,0.00,0.4,0.32,0.08
11-1,0.20,0.00,0.4,0.32,0.08
11-2,0.20,0.00,0.4,0.32,0.08
10-1,0.20,0.00,0.4,0.32,0.08
10-2,0.20,0.00,0.4,0.32,0.08
10-3,0.20,0.00,0.4,0.32,0.08
7-1,0.20,0.00,0.4,0.32,0.08
7-2,0.20,0.00,0.4,0.32,0.08
9-1,0.20,0.00,0.4,0.32,0.08
9-2,0.20,0.00,0.4,0.32,0.08
13a-1,0.18,0.02,0.4,0.32,0.08
44-2,0.18,0.02,0.4,0.32,0.08
13b-1,0.18,0.02,0.4,0.32,0.08
12-2,0.18,0.02,0.4,0.32,0.08
13-6,0.18,0.02,0.4,0.32,0.08
13-7,0.18,0.02,0.4,0.32,0.08
13-8,0.18,0.02,0.4,0.32,0.08
13-9,0.18,0.02,0.4,0.32,0.08
44-3,0.12,0.08,0.4,0.32,0.08
12-1,0.12,0.08,0.4,0.32,0.08
13-1,0.12,0.08,0.4,0.32,0.08
13-2,0.12,0.08,0.4,0.32,0.08
13-3,0.12,0.08,0.4,0.32,0.08
13-4,0.12,0.08,0.4,0.32,0.08
13-5,0.12,0.08,0.4,0.32,0.08
14-4,0.12,0.08,0.4,0.32,0.08
14-5,0.12,0.08,0.4,0.32,0.08
14-6,0.12,0.08,0.4,0.32,0.08
14-7,0.12,0.08,0.4,0.32,0.08
14-9,0.12,0.08,0.4,0.32,0.08
14-10,0.12,0.08,0.4,0.32,0.08
14-8,0.12,0.08,0.4,0.32,0.08
36a-1,0.1,0,0.45,0.36,0.09
36-1,0.1,0,0.45,0.36,0.09
36-2,0.1,0,0.45,0.36,0.09
36-3,0.1,0,0.45,0.36,0.09
36-5,0.1,0,0.45,0.36,0.09
36-4,0.1,0,0.45,0.36,0.09
39-1,0.1,0,0.45,0.36,0.09
47-1,0.1,0,0.45,0.36,0.09
43-1,0.1,0,0.45,0.36,0.09
43-2,0.1,0,0.45,0.36,0.09
43-3,0.1,0,0.45,0.36,0.09
43-4,0.1,0,0.45,0.36,0.09
43-5,0.1,0,0.45,0.36,0.09
43-6,0.1,0,0.45,0.36,0.09
38-1,0.1,0,0.45,0.36,0.09
