id,Name,Include,Level,Flood Protection Return Period,Storeys Above Ground,Model,Country,Function type,Category group,Subcategory,Secondary Subcategory,Tertiary Subcategory,Description of category by source,Method,Scale,Notes
0,"Landbouw, recreatie en stedelijk gebied functie",TRUE,Average,0,,HIS-SSM,Netherlands,Combined,Multiple,Agriculture,,,,Combination,Micro,
1,Gemalen functie,TRUE,Average,0,,HIS-SSM,Netherlands,Combined,Infrastructure,Other,,,,Combination,Micro,
2,Auto functie,TRUE,Average,0,,HIS-SSM,Netherlands,Combined,Residential,Generic,,,,Combination,Micro,
3,HIS-SSM: Roads,TRUE,Average,0,,HIS-SSM,Netherlands,Combined,Infrastructure,Transportation,,,,Combination,Micro,
4,Zuiveringsinstallatie functie,TRUE,Average,0,,HIS-SSM,Netherlands,Combined,Infrastructure,Water,,,,Combination,Micro,
5,HIS-SSM: Transport and Communication,TRUE,Average,0,,HIS-SSM,Netherlands,Combined,Employment,Generic,,,,Combination,Micro,
6,HIS-SSM: Companies,TRUE,Average,0,,HIS-SSM,Netherlands,Combined,Employment,Generic,,,,Combination,Micro,
7,Eengezinswoningen en boerderijen functie,TRUE,Average,0,,HIS-SSM,Netherlands,Structure,Residential,Single-family;Agriculture,,,?,Combination,Micro,
8,Eengezinswoningen en boerderijen functie,TRUE,Average,0,,HIS-SSM,Netherlands,Content,Residential,Single-family;Agriculture,,,?,Combination,Micro,
9,HIS-SSM Multi-story residential,TRUE,Average,0,0,HIS-SSM,Netherlands,Combined,Residential,Generic,,,,Combination,Micro,Renamed (from Begane grond functie) and grouped
10,HIS-SSM Multi-story residential,TRUE,Average,0,1,HIS-SSM,Netherlands,Combined,Residential,Generic,,,,Combination,Micro,Renamed and grouped
11,HIS-SSM Multi-story residential,TRUE,Average,0,2+,HIS-SSM,Netherlands,Combined,Residential,Generic,,,,Combination,Micro,Renamed and grouped
12,Rhine Atlas Housing,TRUE,Average,0,,Rhine Atlas,Germany,Structure,Residential,Generic,,,,Combination,Meso,
13,Rhine Atlas Housing,TRUE,Average,0,,Rhine Atlas,Germany,Content,Residential,Generic,,,,Combination,Meso,
14,Rhine Atlas Companies,TRUE,Average,0,,Rhine Atlas,Germany,Structure,Employment,Generic,,,,Combination,Meso,
15,Rhine Atlas Companies,TRUE,Average,0,,Rhine Atlas,Germany,Content,Employment,Generic,,,,Combination,Meso,
16,Rhine Atlas Infrastructure,TRUE,Average,0,,Rhine Atlas,Germany,Combined,Infrastructure,Generic,,,,Combination,Meso,
17,HAZUS: FIA family house,TRUE,Average,0,0;1,HAZUS-MH,United States,Structure,Residential,Single-family,Fully-detached,,"No further description given, since it is a US source I think it is safe to assume that this concerns almost exclusively fully detached homes",Observations,Micro,Renamed and grouped
18,HAZUS: FIA family house,TRUE,Average,0,0;1,HAZUS-MH,United States,Content,Residential,Single-family,Fully-detached,,"No further description given, since it is a US source I think it is safe to assume that this concerns almost exclusively fully detached homes",Observations,Micro,Renamed and grouped
19,HAZUS: FIA family house,TRUE,Average,0,0,HAZUS-MH,United States,Structure,Residential,Single-family,Fully-detached,,"No further description given, since it is a US source I think it is safe to assume that this concerns almost exclusively fully detached homes",Observations,Micro,Renamed and grouped
20,HAZUS: FIA family house,TRUE,Average,0,0,HAZUS-MH,United States,Content,Residential,Single-family,Fully-detached,,"No further description given, since it is a US source I think it is safe to assume that this concerns almost exclusively fully detached homes",Observations,Micro,Renamed and grouped
21,HAZUS: FIA family house,TRUE,Average,0,0;2,HAZUS-MH,United States,Structure,Residential,Single-family,Fully-detached,,"No further description given, since it is a US source I think it is safe to assume that this concerns almost exclusively fully detached homes",Observations,Micro,Renamed and grouped
22,HAZUS: FIA family house,TRUE,Average,0,0;2,HAZUS-MH,United States,Content,Residential,Single-family,Fully-detached,,"No further description given, since it is a US source I think it is safe to assume that this concerns almost exclusively fully detached homes",Observations,Micro,Renamed and grouped
23,HAZUS: Com5 Mid rise Banks no basement,TRUE,Average,0,,HAZUS-MH,United States,Structure,Employment,Commercial,Bank,,,Combination,Micro,
24,HAZUS: Com5 Mid rise Banks no basement,TRUE,Average,0,,HAZUS-MH,United States,Content,Employment,Commercial,Bank,,,Combination,Micro,
25,HAZUS: IND2 Light industry average low rise,TRUE,Average,0,,HAZUS-MH,United States,Structure,Employment,Industrial,,,,Combination,Micro,
26,HAZUS: IND2 Light industry average low rise,TRUE,Average,0,,HAZUS-MH,United States,Content,Employment,Industrial,,,,Combination,Micro,
27,HAZUS: Gov1 Average Government,TRUE,Average,0,,HAZUS-MH,United States,Structure,Employment,Office,,,,Combination,Micro,
28,HAZUS: Gov1 - Average Government,TRUE,Average,0,,HAZUS-MH,United States,Content,Employment,Office,,,,Combination,Micro,
29,HAZUS: Com6 Hospital standard,TRUE,Average,0,,HAZUS-MH,United States,Structure,Employment,Hospital,,,,Combination,Micro,
30,HAZUS: Com6 Hospital standard,TRUE,Average,0,,HAZUS-MH,United States,Content,Employment,Hospital,,,,Combination,Micro,
31,HAZUS: Com1 Retail Trade Average,TRUE,Average,0,,HAZUS-MH,United States,Structure,Employment,Commercial,,,,Combination,Micro,
32,HAZUS: Com1 Retail Trade Average,TRUE,Average,0,,HAZUS-MH,United States,Content,Employment,Commercial,,,,Combination,Micro,
33,MCM: High street shop,TRUE,Average,0,,MCM,United Kingdom,Structure,Employment,Commercial,,,,Expert calculation,Micro,
34,MCM: High street shop,TRUE,Low,0,,MCM,United Kingdom,Structure,Employment,Commercial,,,,Expert calculation,Micro,
35,MCM: High street shop,TRUE,High,0,,MCM,United Kingdom,Structure,Employment,Commercial,,,,Expert calculation,Micro,
